sale_date,sku,units_sold,unit_price_eur,source_retailer,total_revenue_eur
2026-02-08,SKU-1002,5,39.01,retailer_b,195.05
2026-01-28,SKU-1001,9,16.78,retailer_b,151.02
2026-02-22,SKU-1002,18,40.35,retailer_b,726.3
2026-01-02,SKU-1003,24,23.54,retailer_b,564.96
2026-01-15,SKU-1001,19,19.4,retailer_b,368.6
2026-01-02,SKU-1004,9,33.19,retailer_b,298.71
2026-01-26,SKU-1001,21,11.56,retailer_b,242.76
2026-01-10,SKU-1001,25,44.64,retailer_b,1116.0
2026-01-03,SKU-1002,9,23.63,retailer_b,212.67
2026-02-16,SKU-1004,5,32.82,retailer_b,164.1
2026-01-11,SKU-1002,37,13.26,retailer_b,490.62
2026-01-29,SKU-1003,24,45.62,retailer_b,1094.88
2026-02-15,SKU-1001,30,45.86,retailer_b,1375.8
